iter	Passed	Remaining
796	2238	570
797	2240	567
798	2241	563
799	2245	561
800	2247	558
801	2248	555
802	2251	552
803	2253	549
804	2255	546
805	2256	543
806	2261	540
807	2263	537
808	2264	534
809	2266	531
810	2267	528
811	2268	525
812	2270	522
813	2271	519
814	2275	516
815	2277	513
816	2278	510
817	2280	507
818	2282	504
819	2283	501
820	2286	498
821	2290	496
822	2292	493
823	2293	489
824	2295	486
825	2297	483
826	2298	480
827	2300	477
828	2301	474
829	2305	472
830	2307	469
831	2308	466
832	2310	463
833	2311	460
834	2313	457
835	2315	454
836	2317	451
837	2322	448
838	2324	445
839	2325	442
840	2327	439
841	2328	436
842	2330	433
843	2331	430
844	2335	428
845	2337	425
846	2338	422
847	2340	419
848	2343	416
849	2345	413
850	2352	411
851	2355	409
852	2356	406
853	2358	403
854	2359	400
855	2361	397
856	2364	394
857	2366	391
858	2368	388
859	2370	385
860	2371	382
861	2372	379
862	2374	376
863	2376	374
864	2380	371
865	2382	368
866	2384	365
867	2385	362
868	2387	359
869	2388	356
870	2390	354
871	2391	351
872	2394	348
873	2395	345
874	2397	342
875	2398	339
876	2399	336
877	2402	333
878	2404	330
879	2408	328
880	2409	325
881	2411	322
882	2412	319
883	2413	316
884	2415	313
885	2416	310
886	2418	308
887	2422	305
888	2424	302
889	2425	299
890	2427	296
891	2428	294
892	2430	291
893	2432	288
894	2433	285
895	2439	283
896	2440	280
897	2442	277
898	2444	274
899	2446	271
900	2447	268
901	2449	266
902	2453	263
903	2455	260
904	2457	257
905	2458	255
906	2460	252
907	2462	249
908	2463	246
909	2468	244
910	2470	241
911	2471	238
912	2472	235
913	2474	232
914	2476	230
915	2477	227
916	2479	224
917	2481	221
918	2483	218
919	2485	216
920	2486	213
921	2487	210
922	2489	207
923	2491	204
924	2499	202
925	2501	199
926	2502	197
927	2504	194
928	2509	191
929	2512	189
930	2513	186
931	2515	183
932	2516	180
933	2520	178
934	2524	175
935	2528	172
936	2531	170
937	2533	167
938	2535	164
939	2536	161
940	2541	159
941	2542	156
942	2545	153
943	2547	151
944	2549	148
945	2551	145
946	2556	143
947	2558	140
948	2559	137
949	2561	134
950	2562	132
951	2564	129
952	2565	126
953	2567	123
954	2569	121
955	2571	118
956	2572	115
957	2574	112
958	2575	110
959	2577	107
960	2579	104
961	2585	102
962	2587	99
963	2589	96
964	2590	93
965	2592	91
966	2593	88
967	2594	85
968	2599	83
969	2601	80
970	2602	77
971	2604	75
972	2605	72
973	2607	69
974	2609	66
975	2614	64
976	2616	61
977	2617	58
978	2619	56
979	2620	53
980	2622	50
981	2623	48
982	2624	45
983	2628	42
984	2630	40
985	2633	37
986	2635	34
987	2637	32
988	2639	29
989	2643	26
990	2645	24
991	2646	21
992	2648	18
993	2650	15
994	2651	13
995	2653	10
996	2657	7
997	2659	5
998	2661	2
999	2662	0
